layer,hook_function,region,TCA,ASR
conv2,mask_with_blur_hook_conv2,lower_left,0.984,0.9994
conv2,masl_lower_zero_hook,lower_left,0.9047,0.9994
conv2,mask_lower_half_hook,lower_left,0.9207,0.9996
conv2,mask_with_mean_hook,lower_left,0.9712,0.9995
